,id_Out,TIME_STAMP,TEMPERATURE_Out,GAS_Out,HUMIDITY_Out,PRESSURE_Out,ALTITUDE_Out,id_In,TEMPERATURE_In,GAS_In,HUMIDITY_In,PRESSURE_In,ALTITUDE_In
0,2,2019-05-12 18:58:00,75.0,364884,84.9,975.0,323.2,2.0,74.0,6049661.0,35.9,972.9,341.2
1,3,2019-05-12 18:59:00,75.0,362475,84.6,975.0,323.3,3.0,74.0,5851528.0,35.9,972.9,341.3
2,4,2019-05-12 19:00:00,75.0,362874,84.2,975.0,323.4,4.0,74.0,5636172.0,36.2,972.9,341.4
3,5,2019-05-12 19:01:00,75.0,362475,84.4,975.0,323.5,5.0,74.0,5441624.0,37.3,972.9,341.5
4,6,2019-05-12 19:02:00,75.0,362874,84.4,975.0,323.5,6.0,74.0,5219085.0,37.1,972.9,341.6
5,7,2019-05-12 19:03:00,75.0,363676,84.8,975.0,323.6,7.0,75.0,5037594.0,36.7,972.9,341.6
6,8,2019-05-12 19:04:00,75.0,363676,84.8,975.0,323.6,8.0,75.0,4877161.0,36.4,972.9,341.7
7,9,2019-05-12 19:05:00,75.0,364481,85.0,975.0,323.6,9.0,75.0,4705882.0,36.5,972.9,341.8
8,10,2019-05-12 19:06:00,75.0,364078,85.3,975.0,323.6,10.0,75.0,4608770.0,36.5,972.9,341.6
9,11,2019-05-12 19:07:00,75.0,363274,85.2,975.0,323.5,11.0,75.0,4530854.0,36.7,972.9,341.6
10,12,2019-05-12 19:08:00,75.0,363676,85.1,975.0,323.6,12.0,75.0,4422442.0,36.6,972.9,341.6
11,13,2019-05-12 19:09:00,75.0,363676,85.6,975.0,323.5,13.0,75.0,4347121.0,36.9,972.9,341.7
12,14,2019-05-12 19:10:00,75.0,364078,84.8,975.0,323.6,14.0,75.0,4267516.0,36.8,972.9,341.7
13,15,2019-05-12 19:11:00,75.0,365695,84.6,975.0,323.6,15.0,75.0,4174455.0,36.8,972.9,341.7
14,16,2019-05-12 19:12:00,75.0,366101,85.2,975.0,323.7,16.0,75.0,4094729.0,37.3,972.9,341.8
15,17,2019-05-12 19:13:00,75.0,367326,85.6,975.0,323.6,17.0,75.0,4057532.0,36.2,972.9,341.8
16,18,2019-05-12 19:14:00,75.0,366509,85.3,975.0,323.6,18.0,75.0,3961567.0,36.2,972.9,341.9
17,19,2019-05-12 19:15:00,75.0,366917,84.6,975.0,323.5,19.0,74.0,3918129.0,35.9,972.9,341.8
18,20,2019-05-12 19:16:00,75.0,366917,85.6,975.0,323.4,20.0,74.0,3853343.0,35.7,972.9,341.7
19,21,2019-05-12 19:17:00,74.0,366917,85.7,975.0,323.2,21.0,74.0,3787986.0,35.8,972.9,341.7
20,22,2019-05-12 19:18:00,74.0,367736,85.7,975.0,323.2,22.0,74.0,3745632.0,35.5,972.9,341.6
21,23,2019-05-12 19:19:00,74.0,367326,85.0,975.0,323.2,23.0,74.0,3691460.0,35.6,972.9,341.7
22,24,2019-05-12 19:20:00,74.0,367736,84.8,975.0,323.2,24.0,74.0,3656207.0,35.4,972.9,341.6
23,25,2019-05-12 19:21:00,74.0,368147,84.5,975.0,323.2,25.0,74.0,3611860.0,35.3,972.9,341.6
24,26,2019-05-12 19:22:00,74.0,369386,84.0,975.0,323.2,26.0,74.0,3573333.0,35.3,972.9,341.6
25,27,2019-05-12 19:23:00,75.0,370633,83.8,975.0,323.2,27.0,74.0,3535620.0,35.6,972.9,341.6
26,28,2019-05-12 19:24:00,74.0,371051,83.8,975.0,323.2,28.0,74.0,3464771.0,36.1,972.9,341.6
27,29,2019-05-12 19:25:00,74.0,372309,84.1,975.0,323.3,29.0,74.0,3401015.0,35.4,972.9,341.8
28,30,2019-05-12 19:26:00,74.0,373576,84.1,975.0,323.4,30.0,75.0,3333333.0,35.3,972.9,341.8
29,31,2019-05-12 19:27:00,74.0,373576,84.2,975.0,323.6,31.0,75.0,3272283.0,35.1,972.8,341.9
30,32,2019-05-12 19:28:00,74.0,375279,84.4,975.0,323.7,32.0,75.0,3221154.0,35.2,972.8,342.1
31,33,2019-05-12 19:29:00,74.0,375279,84.8,975.0,323.9,33.0,75.0,3175355.0,35.3,972.8,342.2
32,34,2019-05-12 19:30:00,74.0,376566,86.9,974.9,323.9,34.0,76.0,3121724.0,35.4,972.8,342.3
33,35,2019-05-12 19:31:00,74.0,375707,87.3,974.9,323.9,35.0,76.0,3110853.0,36.2,972.8,342.3
34,36,2019-05-12 19:32:00,74.0,376566,86.3,974.9,323.9,36.0,76.0,3098266.0,36.9,972.8,342.4
35,37,2019-05-12 19:33:00,74.0,376136,86.0,975.0,323.7,37.0,75.0,3085780.0,36.8,972.8,342.2
36,38,2019-05-12 19:34:00,74.0,376997,85.7,975.0,323.6,38.0,75.0,3062857.0,36.4,972.8,342.0
37,39,2019-05-12 19:35:00,74.0,179225,86.7,975.0,323.4,39.0,75.0,3054131.0,36.0,972.9,341.8
38,40,2019-05-12 19:36:00,74.0,179225,87.0,975.0,323.1,40.0,75.0,3014623.0,36.1,972.9,341.6
39,41,2019-05-12 19:37:00,74.0,179225,86.6,975.1,323.0,41.0,75.0,2999440.0,36.5,972.9,341.5
40,42,2019-05-12 19:38:00,74.0,179225,86.0,975.0,323.0,42.0,75.0,2999440.0,35.6,972.9,341.4
41,43,2019-05-12 19:39:00,74.0,179225,86.2,975.1,323.0,43.0,75.0,2999440.0,35.4,972.9,341.4
42,44,2019-05-12 19:40:00,74.0,179225,87.7,975.1,322.9,44.0,74.0,2999440.0,35.7,972.9,341.5
43,45,2019-05-12 19:41:00,74.0,179225,87.6,975.1,322.9,45.0,74.0,2999440.0,35.2,972.9,341.5
44,46,2019-05-12 19:42:00,74.0,179225,88.7,975.1,322.7,46.0,74.0,723933.0,35.2,972.9,341.6
45,47,2019-05-12 19:43:00,74.0,179225,89.0,975.1,322.6,47.0,74.0,723933.0,35.3,972.9,341.5
46,48,2019-05-12 19:44:00,74.0,179225,88.2,975.1,322.6,48.0,74.0,723933.0,35.0,972.9,341.5
47,49,2019-05-12 19:45:00,74.0,179225,87.7,975.1,322.7,49.0,74.0,723933.0,35.5,972.9,341.5
48,50,2019-05-12 19:46:00,74.0,179225,88.0,975.1,322.6,50.0,74.0,723933.0,36.3,972.9,341.4
49,51,2019-05-12 19:47:00,74.0,179225,87.5,975.1,322.5,51.0,74.0,723933.0,35.5,972.9,341.5
50,52,2019-05-12 19:48:00,74.0,179225,87.3,975.1,322.5,52.0,75.0,723933.0,35.2,972.9,341.4
51,53,2019-05-12 19:49:00,74.0,179225,87.5,975.1,322.5,53.0,75.0,723933.0,35.2,972.9,341.3
52,54,2019-05-12 19:50:00,74.0,179225,87.5,975.1,322.5,54.0,75.0,723933.0,35.2,972.9,341.3
53,55,2019-05-12 19:51:00,73.0,179225,87.5,975.1,322.4,55.0,75.0,723933.0,35.1,972.9,341.4
54,56,2019-05-12 19:52:00,73.0,179225,87.5,975.1,322.4,56.0,76.0,723933.0,35.2,972.9,341.3
55,57,2019-05-12 19:53:00,73.0,179225,87.7,975.1,322.4,57.0,76.0,723933.0,35.6,972.9,341.3
56,58,2019-05-12 19:54:00,73.0,179225,87.3,975.1,322.3,58.0,76.0,723933.0,36.5,972.9,341.2
57,59,2019-05-12 19:55:00,73.0,179225,87.3,975.1,322.2,59.0,76.0,723933.0,37.1,972.9,341.1
58,60,2019-05-12 19:56:00,73.0,179225,87.4,975.1,322.2,60.0,75.0,723933.0,37.0,973.0,341.0
59,61,2019-05-12 19:57:00,73.0,179225,87.4,975.2,322.0,61.0,75.0,723933.0,36.4,973.0,340.9
60,62,2019-05-12 19:58:00,73.0,179225,88.2,975.2,321.7,62.0,75.0,723933.0,36.1,973.0,340.7
61,63,2019-05-12 19:59:00,73.0,179225,87.9,975.2,321.6,63.0,75.0,723933.0,35.9,973.0,340.6
62,64,2019-05-12 20:00:00,73.0,179225,89.2,975.2,321.4,64.0,75.0,723933.0,35.7,973.0,340.4
63,65,2019-05-12 20:01:00,73.0,179225,88.7,975.2,321.4,65.0,75.0,723933.0,35.6,973.0,340.3
64,66,2019-05-12 20:02:00,73.0,179225,89.0,975.3,321.2,66.0,75.0,723933.0,35.8,973.1,340.1
65,67,2019-05-12 20:03:00,73.0,179225,89.9,975.3,321.0,67.0,74.0,723933.0,35.9,973.1,340.1
66,68,2019-05-12 20:04:00,73.0,179225,89.9,975.3,320.8,68.0,74.0,723933.0,36.4,973.1,340.0
67,69,2019-05-12 20:05:00,73.0,179225,90.7,975.3,320.7,69.0,74.0,723933.0,36.1,973.1,340.0
68,70,2019-05-12 20:06:00,73.0,179225,90.9,975.3,320.6,70.0,74.0,723933.0,36.1,973.1,339.9
