,TIME_STAMP,TEMPERATURE_Out,GAS_Out,HUMIDITY_Out,PRESSURE_Out,TEMPERATURE_In,GAS_In,HUMIDITY_In,PRESSURE_In
0,2019-05-12 19:00:00,75.0,367019.2,84.8,975.0,75.0,4203911.7,84.8,972.9
1,2019-05-12 20:00:00,73.0,195655.8,89.4,975.2,75.0,1188237.0,89.4,973.0
2,2019-05-12 21:00:00,72.0,182528.4,92.0,975.7,74.0,723933.0,92.0,973.4
3,2019-05-12 22:00:00,72.0,342664.5,91.5,976.1,75.0,723933.0,91.5,973.9
4,2019-05-12 23:00:00,71.0,268596.2,90.1,976.8,75.0,723933.0,90.1,974.6
5,2019-05-13 00:00:00,70.0,179225.0,90.4,977.0,76.0,723933.0,90.4,974.8
6,2019-05-13 01:00:00,70.0,179225.0,90.6,977.1,76.0,723933.0,90.6,974.8
7,2019-05-13 02:00:00,70.0,237114.0,89.4,977.1,76.0,1099133.3,89.4,974.9
8,2019-05-13 03:00:00,69.0,759850.4,89.6,976.9,76.0,1438495.0,89.6,974.7
9,2019-05-13 04:00:00,68.0,787946.4,88.4,977.0,77.0,1394748.8,88.4,974.8
10,2019-05-13 05:00:00,66.0,822180.2,88.8,977.2,76.0,1371878.5,88.8,975.1
11,2019-05-13 06:00:00,66.0,853653.3,87.3,977.9,76.0,1399197.6,87.3,975.7
12,2019-05-13 07:00:00,65.0,886127.7,85.8,978.7,76.0,1383098.4,85.8,976.5
13,2019-05-13 08:00:00,65.0,907377.5,84.7,979.4,76.0,1325489.3,84.7,977.2
14,2019-05-13 09:00:00,66.0,945713.3,78.4,979.8,74.0,1189115.9,78.4,977.5
15,2019-05-13 10:00:00,67.0,1032107.5,70.1,980.0,74.0,723933.0,70.1,977.9
16,2019-05-13 11:00:00,68.0,1175055.4,65.3,980.0,74.0,723933.0,65.3,978.0
17,2019-05-13 12:00:00,69.0,1362717.9,60.5,980.0,74.0,723933.0,60.5,978.0
18,2019-05-13 13:00:00,71.0,953755.0,57.0,979.7,74.0,723933.0,57.0,977.9
19,2019-05-13 14:00:00,72.0,723933.0,54.1,979.6,74.0,723933.0,54.1,977.7
20,2019-05-13 15:00:00,73.0,723933.0,52.2,979.3,74.0,723933.0,52.2,977.5
21,2019-05-13 16:00:00,74.0,723933.0,51.3,979.0,74.0,723933.0,51.3,977.2
22,2019-05-13 17:00:00,75.0,723933.0,48.9,978.8,74.0,723933.0,48.9,977.2
23,2019-05-13 18:00:00,75.0,723933.0,49.0,978.9,75.0,723933.0,49.0,977.3
24,2019-05-13 19:00:00,73.0,723933.0,50.4,979.3,75.0,723933.0,50.4,977.6
25,2019-05-13 20:00:00,71.0,723933.0,54.0,979.8,76.0,723933.0,54.0,978.2
26,2019-05-13 21:00:00,68.0,723933.0,57.8,980.8,76.0,723933.0,57.8,979.0
27,2019-05-13 22:00:00,66.0,723933.0,63.2,981.4,76.0,723933.0,63.2,979.6
28,2019-05-13 23:00:00,64.0,723933.0,70.5,982.0,76.0,723933.0,70.5,980.1
29,2019-05-14 00:00:00,63.0,723933.0,70.7,982.1,75.0,723933.0,70.7,980.1
30,2019-05-14 01:00:00,60.0,723933.0,74.2,982.0,75.0,723933.0,74.2,980.0
31,2019-05-14 02:00:00,59.0,723933.0,76.7,981.8,74.0,723933.0,76.7,979.7
32,2019-05-14 03:00:00,58.0,723933.0,79.8,981.5,74.0,723933.0,79.8,979.4
33,2019-05-14 04:00:00,55.0,723933.0,83.8,981.5,74.0,723933.0,83.8,979.4
34,2019-05-14 05:00:00,55.0,723933.0,85.1,982.0,74.0,723933.0,85.1,979.8
35,2019-05-14 06:00:00,54.0,723933.0,82.9,982.5,74.0,723933.0,82.9,980.2
36,2019-05-14 07:00:00,54.0,723933.0,83.6,983.0,73.0,723933.0,83.6,980.8
37,2019-05-14 08:00:00,56.0,723933.0,80.3,983.8,73.0,723933.0,80.3,981.6
38,2019-05-14 09:00:00,59.0,723933.0,72.5,984.2,73.0,723933.0,72.5,981.9
39,2019-05-14 10:00:00,61.0,723933.0,63.9,984.1,73.0,723933.0,63.9,982.0
40,2019-05-14 11:00:00,63.0,723933.0,60.0,984.2,73.0,723933.0,60.0,982.2
41,2019-05-14 12:00:00,65.0,723933.0,57.3,984.2,73.0,723933.0,57.3,982.2
42,2019-05-14 13:00:00,67.0,723933.0,52.7,983.8,73.0,723933.0,52.7,981.9
43,2019-05-14 14:00:00,70.0,723933.0,52.0,983.3,73.0,723933.0,52.0,981.5
44,2019-05-14 15:00:00,72.0,723933.0,50.8,982.8,74.0,723933.0,50.8,981.0
45,2019-05-14 16:00:00,73.0,723933.0,49.0,982.0,74.0,723933.0,49.0,980.3
46,2019-05-14 17:00:00,74.0,723933.0,47.6,981.6,75.0,723933.0,47.6,979.9
47,2019-05-14 18:00:00,74.0,723933.0,47.1,981.5,75.0,723933.0,47.1,979.9
48,2019-05-14 19:00:00,74.0,723933.0,47.8,981.8,76.0,723933.0,47.8,980.2
49,2019-05-14 20:00:00,72.0,723933.0,51.1,982.6,76.0,723933.0,51.1,981.0
50,2019-05-14 21:00:00,69.0,723933.0,54.0,983.4,75.0,723933.0,54.0,981.7
51,2019-05-14 22:00:00,66.0,723933.0,58.2,983.8,75.0,723933.0,58.2,982.0
52,2019-05-14 23:00:00,62.0,723933.0,68.3,984.1,76.0,723933.0,68.3,982.2
53,2019-05-15 00:00:00,61.0,723933.0,71.5,983.9,76.0,723933.0,71.5,982.0
54,2019-05-15 01:00:00,59.0,723933.0,76.2,983.9,76.0,723933.0,76.2,981.9
55,2019-05-15 02:00:00,58.0,723933.0,78.3,983.7,75.0,723933.0,78.3,981.6
56,2019-05-15 03:00:00,56.0,723933.0,82.2,983.4,75.0,723933.0,82.2,981.3
57,2019-05-15 04:00:00,55.0,723933.0,84.4,983.6,74.0,723933.0,84.4,981.4
58,2019-05-15 05:00:00,54.0,723933.0,86.0,983.8,74.0,723933.0,86.0,981.6
59,2019-05-15 06:00:00,53.0,723933.0,87.1,984.3,74.0,723933.0,87.1,982.1
60,2019-05-15 07:00:00,53.0,723933.0,87.5,984.8,73.0,723933.0,87.5,982.5
61,2019-05-15 08:00:00,55.0,723933.0,84.3,985.4,73.0,723933.0,84.3,983.1
62,2019-05-15 09:00:00,61.0,723933.0,72.6,985.9,73.0,723933.0,72.6,983.5
63,2019-05-15 10:00:00,65.0,723933.0,66.8,986.0,73.0,723933.0,66.8,983.8
64,2019-05-15 11:00:00,67.0,723933.0,64.2,986.2,73.0,723933.0,64.2,984.1
65,2019-05-15 12:00:00,69.0,723933.0,60.7,986.2,73.0,2952844.1,60.7,984.1
66,2019-05-15 13:00:00,71.0,723933.0,57.1,985.6,73.0,3354791.5,57.1,983.7
67,2019-05-15 14:00:00,72.0,723933.0,54.4,984.9,74.0,4327222.1,54.4,983.0
68,2019-05-15 15:00:00,74.0,723933.0,51.8,984.5,74.0,4499635.8,51.8,982.8
69,2019-05-15 16:00:00,75.0,723933.0,51.0,984.2,74.0,3647066.6,51.0,982.5
70,2019-05-15 17:00:00,74.0,723933.0,53.1,983.7,75.0,3106729.2,53.1,982.0
71,2019-05-15 18:00:00,74.0,723933.0,55.0,983.0,75.0,951483.7,55.0,981.3
72,2019-05-15 19:00:00,75.0,723933.0,53.5,983.0,76.0,723933.0,53.5,981.4
73,2019-05-15 20:00:00,74.0,2034422.2,58.4,983.4,76.0,723933.0,58.4,981.7
74,2019-05-15 21:00:00,70.0,1296174.9,69.1,983.8,76.0,723933.0,69.1,982.0
75,2019-05-15 22:00:00,68.0,723933.0,75.5,984.3,77.0,723933.0,75.5,982.4
76,2019-05-15 23:00:00,67.0,723933.0,77.7,984.9,76.0,723933.0,77.7,982.9
77,2019-05-16 00:00:00,66.0,723933.0,79.3,985.2,77.0,723933.0,79.3,983.2
78,2019-05-16 01:00:00,65.0,723933.0,82.9,985.0,77.0,723933.0,82.9,982.9
79,2019-05-16 02:00:00,63.0,723933.0,85.6,984.7,77.0,723933.0,85.6,982.6
80,2019-05-16 03:00:00,63.0,723933.0,87.1,984.4,76.0,723933.0,87.1,982.3
81,2019-05-16 04:00:00,63.0,1046279.4,88.1,984.4,77.0,723933.0,88.1,982.2
82,2019-05-16 05:00:00,63.0,1320840.6,88.2,984.5,76.0,723933.0,88.2,982.3
83,2019-05-16 06:00:00,63.0,1156376.3,89.2,984.6,76.0,723933.0,89.2,982.4
84,2019-05-16 07:00:00,62.0,1024484.1,89.6,985.2,76.0,723933.0,89.6,982.9
85,2019-05-16 08:00:00,63.0,902731.0,89.7,985.8,76.0,723933.0,89.7,983.5
86,2019-05-16 09:00:00,66.0,811061.2,84.4,986.1,76.0,723933.0,84.4,983.9
