,TIME_STAMP,TEMPERATURE_Out,GAS_Out,PRESSURE_Out,TEMPERATURE_In
0,2019-05-12 19:00:00,74.6,367019.2,975.0,74.5
1,2019-05-12 20:00:00,73.0,195655.8,975.2,74.5
2,2019-05-12 21:00:00,71.7,182528.4,975.7,74.0
3,2019-05-12 22:00:00,71.9,342664.5,976.1,74.6
4,2019-05-12 23:00:00,71.4,268596.2,976.8,74.7
5,2019-05-13 00:00:00,70.4,179225.0,977.0,75.9
6,2019-05-13 01:00:00,70.0,179225.0,977.1,76.0
7,2019-05-13 02:00:00,69.9,237114.0,977.1,76.0
8,2019-05-13 03:00:00,69.0,759850.4,976.9,76.0
9,2019-05-13 04:00:00,67.8,787946.4,976.9,76.7
10,2019-05-13 05:00:00,66.4,822180.2,977.2,76.6
11,2019-05-13 06:00:00,66.0,853653.3,977.9,76.0
12,2019-05-13 07:00:00,65.2,886127.7,978.7,76.0
13,2019-05-13 08:00:00,65.0,907377.5,979.4,75.9
14,2019-05-13 09:00:00,66.3,945713.3,979.8,74.5
15,2019-05-13 10:00:00,67.2,1032107.5,980.0,74.0
16,2019-05-13 11:00:00,68.2,1175055.4,980.0,73.9
17,2019-05-13 12:00:00,69.1,1362717.9,980.0,74.0
18,2019-05-13 13:00:00,70.7,953755.0,979.7,73.9
19,2019-05-13 14:00:00,72.3,723933.0,979.6,73.9
20,2019-05-13 15:00:00,73.2,723933.0,979.3,74.0
21,2019-05-13 16:00:00,74.1,723933.0,979.0,74.2
22,2019-05-13 17:00:00,74.7,723933.0,978.8,74.4
23,2019-05-13 18:00:00,74.7,723933.0,978.9,74.7
24,2019-05-13 19:00:00,73.1,723933.0,979.3,75.1
25,2019-05-13 20:00:00,70.5,723933.0,979.8,76.0
26,2019-05-13 21:00:00,68.2,723933.0,980.8,76.0
27,2019-05-13 22:00:00,65.9,723933.0,981.4,76.0
28,2019-05-13 23:00:00,63.4,723933.0,982.0,75.7
29,2019-05-14 00:00:00,62.6,723933.0,982.1,74.7
30,2019-05-14 01:00:00,60.4,723933.0,982.0,75.0
31,2019-05-14 02:00:00,59.2,723933.0,981.8,74.1
32,2019-05-14 03:00:00,57.4,723933.0,981.5,74.0
33,2019-05-14 04:00:00,55.4,723933.0,981.5,74.0
34,2019-05-14 05:00:00,54.4,723933.0,982.0,74.0
35,2019-05-14 06:00:00,54.0,723933.0,982.5,74.0
36,2019-05-14 07:00:00,54.0,723933.0,983.0,73.4
37,2019-05-14 08:00:00,55.4,723933.0,983.8,73.1
38,2019-05-14 09:00:00,59.1,723933.0,984.2,73.0
39,2019-05-14 10:00:00,61.4,723933.0,984.1,73.0
40,2019-05-14 11:00:00,63.0,723933.0,984.2,73.0
41,2019-05-14 12:00:00,65.0,723933.0,984.2,73.0
42,2019-05-14 13:00:00,67.3,723933.0,983.8,73.0
43,2019-05-14 14:00:00,69.9,723933.0,983.3,73.0
44,2019-05-14 15:00:00,71.7,723933.0,982.8,74.0
45,2019-05-14 16:00:00,73.2,723933.0,982.0,74.2
46,2019-05-14 17:00:00,74.2,723933.0,981.6,75.0
47,2019-05-14 18:00:00,74.4,723933.0,981.5,75.4
48,2019-05-14 19:00:00,73.5,723933.0,981.8,75.6
49,2019-05-14 20:00:00,71.6,723933.0,982.6,75.7
50,2019-05-14 21:00:00,69.3,723933.0,983.4,75.1
51,2019-05-14 22:00:00,66.4,723933.0,983.8,75.4
52,2019-05-14 23:00:00,62.4,723933.0,984.1,76.0
53,2019-05-15 00:00:00,61.0,723933.0,983.9,76.0
54,2019-05-15 01:00:00,59.0,723933.0,983.9,75.9
55,2019-05-15 02:00:00,57.6,723933.0,983.7,75.0
56,2019-05-15 03:00:00,55.9,723933.0,983.4,75.0
57,2019-05-15 04:00:00,54.8,723933.0,983.6,74.3
58,2019-05-15 05:00:00,53.8,723933.0,983.8,74.0
59,2019-05-15 06:00:00,53.0,723933.0,984.3,74.0
60,2019-05-15 07:00:00,52.4,723933.0,984.9,73.0
61,2019-05-15 08:00:00,55.4,723933.0,985.5,72.5
62,2019-05-15 09:00:00,61.3,723933.0,985.9,73.0
63,2019-05-15 10:00:00,64.5,723933.0,986.0,73.0
64,2019-05-15 11:00:00,66.8,723933.0,986.2,73.0
65,2019-05-15 12:00:00,69.2,723933.0,986.2,73.0
66,2019-05-15 13:00:00,71.0,723933.0,985.6,73.3
67,2019-05-15 14:00:00,72.2,723933.0,984.9,74.0
68,2019-05-15 15:00:00,73.6,723933.0,984.5,74.0
